date,stock_code,action,shares,price,value,commission,portfolio_value_before,position_mode
2017-03-13,300617.SZ,BUY,800,38.7782,31022.54,62.0451,11280710.73,fixed
2017-03-13,600398.SH,BUY,4700,6.3368,29782.91,59.5658,11281950.36,fixed
2017-03-13,300619.SZ,BUY,1600,19.6349,31415.91,62.8318,11280317.36,fixed
2017-03-13,603528.SH,BUY,1300,21.7693,28300.08,56.6002,11283433.19,fixed
2017-03-13,600346.SH,BUY,6300,4.7466,29903.69,59.8074,11281829.58,fixed
2017-03-13,000029.SZ,BUY,2800,10.5438,29522.71,59.0454,11282210.56,fixed
2017-03-13,002458.SZ,BUY,3000,9.8868,29660.54,59.3211,11282072.73,fixed
2017-03-13,002833.SZ,BUY,2200,12.9983,28596.18,57.1924,11283137.09,fixed
2017-03-13,603203.SH,BUY,1500,18.682,28022.99,56.046,11283710.28,fixed
2017-03-13,300569.SZ,BUY,2800,10.499,29397.25,58.7945,11282336.02,fixed
2017-03-13,300420.SZ,BUY,4500,6.6474,29913.33,59.8267,11281819.94,fixed
2017-03-13,002837.SZ,BUY,5800,5.0881,29511.23,59.0225,11282222.04,fixed
2017-03-13,002668.SZ,BUY,1900,15.1113,28711.51,57.423,11283021.76,fixed
2017-03-13,600265.SH,BUY,800,34.1141,27291.27,54.5825,11284442.0,fixed
2017-03-13,002850.SZ,BUY,400,66.0215,26408.61,52.8172,11285324.66,fixed
2017-03-13,600129.SH,BUY,1700,17.1106,29088.07,58.1761,11282645.2,fixed
2017-03-13,000963.SZ,BUY,1400,20.2305,28322.64,56.6453,11283410.63,fixed
2017-03-13,600551.SH,BUY,2600,11.493,29881.89,59.7638,11281851.38,fixed
2017-03-13,002735.SZ,BUY,2100,13.8398,29063.66,58.1273,11282669.61,fixed
2017-03-13,300609.SZ,BUY,500,61.7117,30855.86,61.7117,11280877.41,fixed
2017-03-13,603986.SH,BUY,900,34.6617,31195.54,62.3911,11280537.73,fixed
2017-03-13,002025.SZ,BUY,1200,23.8235,28588.16,57.1763,11283145.11,fixed
2017-04-12,000029.SZ,SELL,-2800,10.5438,29522.71,59.0454,11595240.61,fixed
2017-04-12,000963.SZ,SELL,-1400,22.146,28322.64,62.0087,11594040.55,fixed
2017-04-12,002025.SZ,SELL,-1200,23.8235,28588.16,57.1763,11594306.07,fixed
2017-04-12,002668.SZ,SELL,-1900,13.2947,28711.51,50.52,11594429.42,fixed
2017-04-12,002735.SZ,SELL,-2100,13.8398,29063.66,58.1273,11594781.57,fixed
2017-04-12,002833.SZ,SELL,-9300,15.3801,89735.5,286.0703,11655453.4,fixed
2017-04-12,002850.SZ,SELL,-400,70.9676,26408.61,56.7741,11592126.52,fixed
2017-04-12,002851.SZ,SELL,-2700,23.0939,32618.17,124.7073,11598336.08,fixed
2017-04-12,002852.SZ,SELL,-1400,32.4305,32183.11,90.8053,11597901.01,fixed
2017-04-12,300420.SZ,SELL,-9000,6.5477,59826.66,117.8589,11625544.57,fixed
2017-04-12,300569.SZ,SELL,-2800,9.6851,29397.25,54.2366,11595115.16,fixed
2017-04-12,300609.SZ,SELL,-500,46.7209,30855.86,46.7209,11596573.77,fixed
2017-04-12,300616.SZ,SELL,-600,69.3636,32214.02,83.2363,11597931.93,fixed
2017-04-12,300617.SZ,SELL,-800,38.7862,31022.54,62.0579,11596740.45,fixed
2017-04-12,300618.SZ,SELL,-2600,37.871,32167.54,196.9293,11597885.45,fixed
2017-04-12,300619.SZ,SELL,-1600,33.9505,31415.91,108.6415,11597133.82,fixed
2017-04-12,600129.SH,SELL,-6700,17.3458,115785.44,232.4339,11681503.35,fixed
2017-04-12,600265.SH,SELL,-800,36.0339,27291.27,57.6543,11593009.17,fixed
2017-04-12,600346.SH,SELL,-6300,4.9126,29903.69,61.8994,11595621.6,fixed
2017-04-12,600398.SH,SELL,-4700,6.7144,29782.91,63.1157,11595500.82,fixed
2017-04-12,600551.SH,SELL,-2600,11.493,29881.89,59.7638,11595599.8,fixed
2017-04-12,603138.SH,SELL,-4400,19.5039,32782.93,171.6345,11598500.83,fixed
2017-04-12,603578.SH,SELL,-2200,28.3715,31770.54,124.8347,11597488.44,fixed
2017-04-12,603908.SH,SELL,-1600,33.413,31791.69,106.9216,11597509.6,fixed
2017-04-12,603986.SH,SELL,-900,34.8446,31195.54,62.7203,11596913.45,fixed
2017-04-12,603991.SH,SELL,-1600,48.637,32138.51,155.6386,11597856.42,fixed
2017-04-12,300629.SZ,BUY,2500,13.0653,32663.28,65.3266,11533054.63,fixed
2017-04-12,300627.SZ,BUY,2700,10.8626,29329.03,58.6581,11536388.88,fixed
2017-04-12,300632.SZ,BUY,4600,7.1194,32749.01,65.498,11532968.89,fixed
2017-04-12,300636.SZ,BUY,3500,9.3557,32744.95,65.4899,11532972.96,fixed
2017-04-12,603385.SH,BUY,1600,20.4589,32734.3,65.4686,11532983.61,fixed
2017-04-12,002859.SZ,BUY,2400,13.3268,31984.42,63.9688,11533733.49,fixed
2017-04-12,300561.SZ,BUY,2000,14.5678,29135.64,58.2713,11536582.27,fixed
2017-04-12,300631.SZ,BUY,1000,31.9803,31980.31,63.9606,11533737.59,fixed
2017-04-12,603538.SH,BUY,2100,15.4239,32390.22,64.7804,11533327.69,fixed
2017-04-12,603041.SH,BUY,1400,23.4837,32877.13,65.7543,11532840.78,fixed
2017-04-12,603203.SH,BUY,1700,17.1297,29120.49,58.241,11536597.42,fixed
2017-04-12,300635.SZ,BUY,1600,19.5162,31225.94,62.4519,11534491.97,fixed
2017-04-12,603586.SH,BUY,900,36.0642,32457.76,64.9155,11533260.15,fixed
2017-04-12,002721.SZ,BUY,1900,15.2001,28880.24,57.7605,11536837.66,fixed
2017-04-12,002458.SZ,BUY,3500,8.4625,29618.61,59.2372,11536099.3,fixed
2017-04-12,300581.SZ,BUY,3400,8.7338,29694.85,59.3897,11536023.06,fixed
2017-04-12,002774.SZ,BUY,1600,17.8967,28634.79,57.2696,11537083.12,fixed
2017-04-12,002179.SZ,BUY,2400,12.4247,29819.35,59.6387,11535898.56,fixed
2017-04-12,603528.SH,BUY,1600,18.4544,29527.11,59.0542,11536190.8,fixed
2017-04-12,300088.SZ,BUY,4200,7.0274,29515.09,59.0302,11536202.82,fixed
2017-04-12,002124.SZ,BUY,6100,4.8684,29697.06,59.3941,11536020.85,fixed
2017-04-12,603178.SH,BUY,1300,24.1291,31367.82,62.7356,11534350.09,fixed
2017-04-12,600066.SH,BUY,2200,13.1854,29007.93,58.0159,11536709.97,fixed
2017-04-12,600064.SH,BUY,5700,5.2346,29837.21,59.6744,11535880.7,fixed
2017-04-12,600696.SH,BUY,3600,8.2282,29621.59,59.2432,11536096.32,fixed
2017-04-12,002837.SZ,BUY,6400,4.643,29714.97,59.4299,11536002.94,fixed
2017-04-12,002857.SZ,BUY,1100,25.7611,28337.23,56.6745,11537380.67,fixed
2017-04-12,300590.SZ,BUY,2600,11.0603,28756.74,57.5135,11536961.17,fixed
2017-04-12,600718.SH,BUY,1600,18.672,29875.18,59.7504,11535842.73,fixed
2017-04-12,603600.SH,BUY,2100,14.2898,30008.59,60.0172,11535709.31,fixed
2017-05-11,002124.SZ,SELL,-6100,3.7354,29697.06,45.5717,11529592.76,fixed
2017-05-11,002721.SZ,SELL,-1900,15.3933,28880.24,58.4947,11528775.95,fixed
2017-05-11,002774.SZ,SELL,-1600,13.0515,28634.79,41.7648,11528530.49,fixed
2017-05-11,002857.SZ,SELL,-1100,22.1042,28337.23,48.6293,11528232.94,fixed
2017-05-11,002859.SZ,SELL,-2400,16.5167,31984.42,79.2801,11531880.12,fixed
2017-05-11,300088.SZ,SELL,-4200,7.0274,29515.09,59.0302,11529410.79,fixed
2017-05-11,300561.SZ,SELL,-2000,12.9482,29135.64,51.793,11529031.34,fixed
2017-05-11,300581.SZ,SELL,-3400,7.3956,29694.85,50.2902,11529590.55,fixed
2017-05-11,300590.SZ,SELL,-2600,10.6646,28756.74,55.4561,11528652.44,fixed
2017-05-11,300627.SZ,SELL,-2700,9.0009,29329.03,48.6048,11529224.73,fixed
2017-05-11,300629.SZ,SELL,-2500,18.0748,32663.28,90.3739,11532558.98,fixed
2017-05-11,300631.SZ,SELL,-1000,26.5971,31980.31,53.1941,11531876.02,fixed
2017-05-11,300632.SZ,SELL,-4600,13.5123,32749.01,124.3134,11532644.72,fixed
2017-05-11,300635.SZ,SELL,-1600,21.0705,31225.94,67.4256,11531121.64,fixed
2017-05-11,300636.SZ,SELL,-3500,9.5464,32744.95,66.8247,11532640.65,fixed
2017-05-11,600064.SH,SELL,-5700,4.618,29837.21,52.6451,11529732.91,fixed
2017-05-11,600066.SH,SELL,-2200,11.7284,29007.93,51.6048,11528903.64,fixed
2017-05-11,600696.SH,SELL,-3600,7.5125,29621.59,54.0899,11529517.29,fixed
2017-05-11,600718.SH,SELL,-1600,14.8657,29875.18,47.5702,11529770.88,fixed
2017-05-11,603041.SH,SELL,-1400,19.6429,32877.13,55.0001,11532772.83,fixed
2017-05-11,603178.SH,SELL,-1300,20.5671,31367.82,53.4743,11531263.52,fixed
2017-05-11,603203.SH,SELL,-3200,16.6217,57143.48,106.3787,11557039.18,fixed
2017-05-11,603385.SH,SELL,-1600,17.2834,32734.3,55.3068,11532630.0,fixed
2017-05-11,603538.SH,SELL,-2100,18.3434,32390.22,77.0425,11532285.92,fixed
2017-05-11,603586.SH,SELL,-900,28.6562,32457.76,51.5811,11532353.46,fixed
2017-05-11,603985.SH,BUY,2600,12.2585,31872.14,63.7443,11468023.56,fixed
2017-05-11,300650.SZ,BUY,2700,11.813,31895.0,63.79,11468000.71,fixed
2017-05-11,300647.SZ,BUY,3900,8.37,32643.14,65.2863,11467252.56,fixed
2017-05-11,603505.SH,BUY,13200,2.491,32881.78,65.7636,11467013.92,fixed
2017-05-11,300514.SZ,BUY,2200,14.7132,32368.94,64.7379,11467526.76,fixed
2017-05-11,603528.SH,BUY,2200,12.9687,28531.07,57.0621,11471364.63,fixed
2017-05-11,002868.SZ,BUY,1100,28.1374,30951.11,61.9022,11468944.6,fixed
2017-05-11,002865.SZ,BUY,1300,21.8576,28414.93,56.8299,11471480.77,fixed
2017-05-11,603320.SH,BUY,1600,19.9733,31957.3,63.9146,11467938.4,fixed
2017-05-11,300649.SZ,BUY,3500,9.1899,32164.76,64.3295,11467730.94,fixed
2017-05-11,603501.SH,BUY,2700,11.8324,31947.46,63.8949,11467948.24,fixed
2017-05-11,300643.SZ,BUY,3800,8.5089,32333.63,64.6673,11467562.07,fixed
2017-05-11,002458.SZ,BUY,4800,6.1193,29372.43,58.7449,11470523.27,fixed
2017-05-11,000981.SZ,BUY,5300,5.6237,29805.36,59.6107,11470090.34,fixed
2017-05-11,600398.SH,BUY,5000,5.8967,29483.65,58.9673,11470412.05,fixed
2017-05-11,300648.SZ,BUY,1000,29.3488,29348.76,58.6975,11470546.94,fixed
2017-05-11,603600.SH,BUY,2300,12.5497,28864.31,57.7286,11471031.39,fixed
2017-05-11,603787.SH,BUY,1700,18.4936,31439.12,62.8782,11468456.58,fixed
2017-05-11,600129.SH,BUY,2000,14.8786,29757.19,59.5144,11470138.51,fixed
2017-05-11,603926.SH,BUY,2100,15.4939,32537.24,65.0745,11467358.46,fixed
2017-05-11,600382.SH,BUY,4800,6.1169,29361.3,58.7226,11470534.4,fixed
2017-05-11,600060.SH,BUY,2600,11.3573,29529.03,59.0581,11470366.67,fixed
2017-05-11,603728.SH,BUY,2200,14.7713,32496.83,64.9937,11467398.87,fixed
2017-05-11,603229.SH,BUY,11600,2.8366,32904.1,65.8082,11466991.6,fixed
2017-05-11,300015.SZ,BUY,8300,3.5749,29671.49,59.343,11470224.21,fixed
2017-05-11,002837.SZ,BUY,6000,4.9186,29511.41,59.0228,11470384.29,fixed
2017-05-11,300604.SZ,BUY,4300,7.3162,31459.81,62.9196,11468435.9,fixed
2017-05-11,603866.SH,BUY,3300,8.8105,29074.69,58.1494,11470821.02,fixed
2017-05-11,000876.SZ,BUY,4200,7.113,29874.43,59.7489,11470021.27,fixed
2017-05-11,002179.SZ,BUY,2700,10.9701,29619.34,59.2387,11470276.36,fixed
2017-06-12,002837.SZ,SELL,-18200,6.9544,88737.61,253.1414,11768629.16,fixed
2017-06-12,002865.SZ,SELL,-1300,17.7238,28414.93,46.082,11708306.48,fixed
2017-06-12,002868.SZ,SELL,-1100,21.2685,30951.11,46.7907,11710842.66,fixed
2017-06-12,300514.SZ,SELL,-2200,13.0648,32368.94,57.485,11712260.49,fixed
2017-06-12,300604.SZ,SELL,-4300,5.4415,31459.81,46.7968,11711351.36,fixed
2017-06-12,300643.SZ,SELL,-3800,15.856,32333.63,120.5059,11712225.18,fixed
2017-06-12,300647.SZ,SELL,-3900,10.0589,32643.14,78.4592,11712534.69,fixed
2017-06-12,300648.SZ,SELL,-1000,22.8314,29348.76,45.6628,11709240.31,fixed
2017-06-12,300649.SZ,SELL,-3500,27.5085,32164.76,192.5595,11712056.32,fixed
2017-06-12,300650.SZ,SELL,-2700,13.469,31895.0,72.7327,11711786.55,fixed
2017-06-12,600060.SH,SELL,-2600,11.8384,29529.03,61.5596,11709420.59,fixed
2017-06-12,600382.SH,SELL,-4800,5.9611,29361.3,57.2262,11709252.85,fixed
2017-06-12,603229.SH,SELL,-11600,4.5419,32904.1,105.3713,11712795.66,fixed
2017-06-12,603320.SH,SELL,-1600,24.1589,31957.3,77.3086,11711848.86,fixed
2017-06-12,603501.SH,SELL,-2700,14.6451,31947.46,79.0837,11711839.02,fixed
2017-06-12,603505.SH,SELL,-13200,4.951,32881.78,130.7077,11712773.34,fixed
2017-06-12,603528.SH,SELL,-7900,15.0029,144799.43,237.046,11824690.99,fixed
2017-06-12,603728.SH,SELL,-2200,15.9253,32496.83,70.0712,11712388.38,fixed
2017-06-12,603787.SH,SELL,-1700,16.2527,31439.12,55.2593,11711330.67,fixed
2017-06-12,603926.SH,SELL,-2100,17.0493,32537.24,71.6069,11712428.79,fixed
2017-06-12,300661.SZ,BUY,5100,6.405,32665.26,65.3305,11647226.3,fixed
2017-06-12,300655.SZ,BUY,9500,3.4446,32723.6,65.4472,11647167.96,fixed
2017-06-12,300657.SZ,BUY,3200,10.1473,32471.2,64.9424,11647420.35,fixed
2017-06-12,002878.SZ,BUY,3400,9.5645,32519.39,65.0388,11647372.16,fixed
2017-06-12,002877.SZ,BUY,4700,6.8974,32417.57,64.8351,11647473.98,fixed
2017-06-12,603496.SH,BUY,3400,9.4942,32280.44,64.5609,11647611.11,fixed
2017-06-12,603200.SH,BUY,1600,19.8184,31709.52,63.419,11648182.04,fixed
2017-06-12,600730.SH,BUY,3900,7.6009,29643.7,59.2874,11650247.86,fixed
2017-06-12,600398.SH,BUY,5000,5.9799,29899.36,59.7987,11649992.19,fixed
2017-06-12,603866.SH,BUY,3300,8.9058,29389.18,58.7784,11650502.38,fixed
2017-06-12,002179.SZ,BUY,2500,11.585,28962.42,57.9248,11650929.13,fixed
2017-06-12,603600.SH,BUY,2600,11.0965,28850.89,57.7018,11651040.66,fixed
2017-06-12,603042.SH,BUY,1100,28.2719,31099.08,62.1982,11648792.47,fixed
2017-06-12,002458.SZ,BUY,4900,5.9869,29335.8,58.6716,11650555.75,fixed
2017-06-12,002871.SZ,BUY,2700,10.7994,29158.49,58.317,11650733.06,fixed
2017-06-12,000029.SZ,BUY,2800,10.5438,29522.71,59.0454,11650368.85,fixed
2017-06-12,300662.SZ,BUY,2900,11.0535,32055.24,64.1105,11647836.31,fixed
2017-06-12,002875.SZ,BUY,1100,25.0177,27519.44,55.0389,11652372.12,fixed
2017-06-12,300659.SZ,BUY,1900,15.2876,29046.37,58.0927,11650845.19,fixed
2017-06-12,603985.SH,BUY,2800,10.1451,28406.21,56.8124,11651485.34,fixed
2017-06-12,600129.SH,BUY,2300,12.6474,29089.03,58.1781,11650802.52,fixed
2017-06-12,000963.SZ,BUY,1200,24.961,29953.19,59.9064,11649938.36,fixed
2017-06-12,603580.SH,BUY,1800,17.8056,32050.09,64.1002,11647841.46,fixed
2017-06-12,000995.SZ,BUY,2500,11.6116,29029.0,58.058,11650862.55,fixed
2017-06-12,300231.SZ,BUY,2900,9.9369,28817.05,57.6341,11651074.51,fixed
2017-06-12,300015.SZ,BUY,8000,3.691,29528.2,59.0564,11650363.35,fixed
2017-06-12,000981.SZ,BUY,5300,5.6237,29805.36,59.6107,11650086.19,fixed
2017-06-12,000876.SZ,BUY,4100,7.2314,29648.56,59.2971,11650242.99,fixed
2017-06-12,300660.SZ,BUY,1500,18.8541,28281.09,56.5622,11651610.46,fixed
2017-06-12,600028.SH,BUY,8700,3.4223,29774.19,59.5484,11650117.37,fixed
2017-07-10,000876.SZ,SELL,-8300,7.5078,59523.0,124.6289,11866779.09,fixed
2017-07-10,000963.SZ,SELL,-1200,24.4012,29953.19,58.5629,11837209.28,fixed
2017-07-10,000981.SZ,SELL,-10600,5.5514,59610.72,117.6899,11866866.81,fixed
2017-07-10,002458.SZ,SELL,-22500,7.2498,177482.72,326.2408,11984738.82,fixed
2017-07-10,002875.SZ,SELL,-1100,20.9519,27519.44,46.0942,11834775.53,fixed
2017-07-10,002877.SZ,SELL,-4700,10.1482,32417.57,95.3932,11839673.66,fixed
2017-07-10,300015.SZ,SELL,-16300,3.8335,59199.69,124.9727,11866455.78,fixed
2017-07-10,300231.SZ,SELL,-2900,10.0823,28817.05,58.4776,11836073.14,fixed
2017-07-10,300655.SZ,SELL,-9500,3.6555,32723.6,69.4537,11839979.69,fixed
2017-07-10,300657.SZ,SELL,-3200,16.8904,32471.2,108.0983,11839727.29,fixed
2017-07-10,300659.SZ,SELL,-1900,14.929,29046.37,56.7302,11836302.46,fixed
2017-07-10,300662.SZ,SELL,-2900,24.8819,32055.24,144.3148,11839311.33,fixed
2017-07-10,600028.SH,SELL,-8700,3.3764,29774.19,58.7485,11837030.28,fixed
2017-07-10,600129.SH,SELL,-4300,12.9815,58846.22,111.6405,11866102.31,fixed
2017-07-10,603042.SH,SELL,-1100,28.1354,31099.08,61.8979,11838355.17,fixed
2017-07-10,603200.SH,SELL,-1600,17.3223,31709.52,55.4313,11838965.61,fixed
2017-07-10,603496.SH,SELL,-3400,12.6277,32280.44,85.8682,11839536.54,fixed
2017-07-10,603580.SH,SELL,-1800,19.118,32050.09,68.8248,11839306.18,fixed
2017-07-10,603600.SH,SELL,-7000,13.841,87723.79,193.7747,11894979.89,fixed
2017-07-10,603985.SH,SELL,-5400,10.8075,60278.35,116.7215,11867534.44,fixed
2017-07-10,603617.SH,BUY,4700,6.8924,32394.35,64.7887,11774861.74,fixed
2017-07-10,300671.SZ,BUY,3800,8.4754,32206.48,64.413,11775049.61,fixed
2017-07-10,002885.SZ,BUY,2000,14.9679,29935.84,59.8717,11777320.25,fixed
2017-07-10,300670.SZ,BUY,3500,9.2447,32356.44,64.7129,11774899.65,fixed
2017-07-10,300669.SZ,BUY,2200,14.7805,32517.21,65.0344,11774738.88,fixed
2017-07-10,002886.SZ,BUY,1900,15.7459,29917.14,59.8343,11777338.95,fixed
2017-07-10,603331.SH,BUY,2700,11.848,31989.55,63.9791,11775266.54,fixed
2017-07-10,603933.SH,BUY,1900,16.75,31825.09,63.6502,11775431.0,fixed
2017-07-10,603938.SH,BUY,2900,11.2109,32511.63,65.0233,11774744.46,fixed
2017-07-10,002179.SZ,BUY,2200,13.4691,29631.92,59.2638,11777624.17,fixed
2017-07-10,300661.SZ,BUY,4200,6.9345,29124.92,58.2498,11778131.17,fixed
2017-07-10,603335.SH,BUY,2800,11.43,32003.98,64.008,11775252.11,fixed
2017-07-10,000029.SZ,BUY,2800,10.5438,29522.71,59.0454,11777733.39,fixed
2017-07-10,000995.SZ,BUY,2100,13.88,29148.0,58.296,11778108.09,fixed
2017-07-10,600730.SH,BUY,3700,8.0498,29784.2,59.5684,11777471.89,fixed
2017-07-10,603383.SH,BUY,1600,17.4343,27894.82,55.7896,11779361.28,fixed
2017-07-10,600666.SH,BUY,2700,10.9669,29610.64,59.2213,11777645.45,fixed
2017-07-10,300666.SZ,BUY,900,31.7736,28596.24,57.1925,11778659.85,fixed
2017-07-10,600398.SH,BUY,4800,6.2293,29900.64,59.8013,11777355.45,fixed
2017-07-10,603286.SH,BUY,1200,26.3989,31678.66,63.3573,11775577.43,fixed
2017-07-10,300568.SZ,BUY,2900,10.142,29411.68,58.8234,11777844.41,fixed
2017-07-10,002878.SZ,BUY,2400,11.948,28675.23,57.3505,11778580.86,fixed
2017-07-10,000155.SZ,BUY,3000,9.9593,29877.92,59.7558,11777378.17,fixed
2017-07-10,600718.SH,BUY,1900,15.0312,28559.33,57.1187,11778696.76,fixed
2017-07-10,002871.SZ,BUY,2700,10.6042,28631.33,57.2627,11778624.76,fixed
2017-07-10,603232.SH,BUY,1800,16.0527,28894.91,57.7898,11778361.18,fixed
2017-07-10,603866.SH,BUY,3300,8.7627,28916.87,57.8337,11778339.22,fixed
2017-07-10,300595.SZ,BUY,3400,8.6329,29351.9,58.7038,11777904.19,fixed
2017-07-10,300660.SZ,BUY,1700,16.4912,28035.07,56.0701,11779221.03,fixed
2017-07-10,300100.SZ,BUY,1700,16.812,28580.39,57.1608,11778675.7,fixed
2017-08-07,000155.SZ,SELL,-3000,9.9593,29877.92,59.7558,11768171.98,fixed
2017-08-07,000995.SZ,SELL,-4600,14.28,58177.0,131.376,11796471.06,fixed
2017-08-07,002871.SZ,SELL,-5400,9.8871,57789.82,106.7806,11796083.88,fixed
2017-08-07,002885.SZ,SELL,-2000,10.5747,29935.84,42.2986,11768229.9,fixed
2017-08-07,002886.SZ,SELL,-1900,11.3908,29917.14,43.2849,11768211.2,fixed
2017-08-07,300100.SZ,SELL,-1700,16.812,28580.39,57.1608,11766874.45,fixed
2017-08-07,300568.SZ,SELL,-2900,9.7155,29411.68,56.35,11767705.73,fixed
2017-08-07,300595.SZ,SELL,-3400,6.0642,29351.9,41.2364,11767645.96,fixed
2017-08-07,300660.SZ,SELL,-3200,14.0276,56316.16,89.7764,11794610.22,fixed
2017-08-07,300666.SZ,SELL,-900,26.6741,28596.24,48.0134,11766890.3,fixed
2017-08-07,300669.SZ,SELL,-2200,11.5706,32517.21,50.9106,11770811.26,fixed
2017-08-07,300670.SZ,SELL,-3500,7.6571,32356.44,53.5995,11770650.5,fixed
2017-08-07,300671.SZ,SELL,-3800,13.5416,32206.48,102.9163,11770500.54,fixed
2017-08-07,600398.SH,SELL,-14800,5.9232,89283.66,175.3281,11827577.72,fixed
2017-08-07,600718.SH,SELL,-1900,14.3371,28559.33,54.4811,11766853.39,fixed
2017-08-07,603232.SH,SELL,-1800,12.3424,28894.91,44.4325,11767188.97,fixed
2017-08-07,603286.SH,SELL,-1200,23.7773,31678.66,57.0656,11769972.72,fixed
2017-08-07,603331.SH,SELL,-2700,12.2265,31989.55,66.0228,11770283.61,fixed
2017-08-07,603335.SH,SELL,-2800,7.4176,32003.98,41.5388,11770298.04,fixed
2017-08-07,603383.SH,SELL,-1600,14.1032,27894.82,45.1301,11766188.87,fixed
2017-08-07,603866.SH,SELL,-9900,8.1886,87380.73,162.1343,11825674.79,fixed
2017-08-07,603933.SH,SELL,-1900,21.6297,31825.09,82.1928,11770119.15,fixed
2017-08-07,603938.SH,SELL,-2900,9.2923,32511.63,53.8955,11770805.69,fixed
2017-08-07,300685.SZ,BUY,6300,5.2327,32966.07,65.9321,11705327.99,fixed
2017-08-07,002890.SZ,BUY,3500,9.2213,32274.72,64.5494,11706019.33,fixed
2017-08-07,300682.SZ,BUY,4500,7.2199,32489.65,64.9793,11705804.41,fixed
2017-08-07,300680.SZ,BUY,2900,11.2187,32534.24,65.0685,11705759.82,fixed
2017-08-07,300678.SZ,BUY,4500,7.3004,32851.75,65.7035,11705442.31,fixed
2017-08-07,300687.SZ,BUY,3800,8.5951,32661.41,65.3228,11705632.65,fixed
2017-08-07,002884.SZ,BUY,3400,8.5899,29205.59,58.4112,11709088.47,fixed
2017-08-07,603617.SH,BUY,3800,7.8316,29760.26,59.5205,11708533.8,fixed
2017-08-07,300659.SZ,BUY,2600,11.4542,29780.94,59.5619,11708513.12,fixed
2017-08-07,002889.SZ,BUY,3100,10.5757,32784.63,65.5693,11705509.43,fixed
2017-08-07,002179.SZ,BUY,2200,13.3861,29449.44,58.8989,11708844.62,fixed
2017-08-07,600666.SH,BUY,2700,10.9669,29610.64,59.2213,11708683.42,fixed
2017-08-07,000029.SZ,BUY,2800,10.5438,29522.71,59.0454,11708771.35,fixed
2017-08-07,300661.SZ,BUY,5200,5.67,29483.88,58.9678,11708810.18,fixed
2017-08-07,603612.SH,BUY,1200,26.9104,32292.53,64.5851,11706001.53,fixed
2017-08-07,603357.SH,BUY,3200,10.2578,32824.83,65.6497,11705469.23,fixed
2017-08-07,300686.SZ,BUY,3500,9.1734,32107.0,64.214,11706187.06,fixed
2017-08-07,600730.SH,BUY,3800,7.8839,29958.86,59.9177,11708335.2,fixed
2017-08-07,002128.SZ,BUY,4700,6.3369,29783.28,59.5666,11708510.78,fixed
2017-08-07,600725.SH,BUY,10500,2.85,29925.0,59.85,11708369.06,fixed
2017-08-07,002877.SZ,BUY,3600,8.1341,29282.82,58.5656,11709011.24,fixed
2017-08-07,603985.SH,BUY,3300,9.0531,29875.21,59.7504,11708418.85,fixed
2017-08-07,603496.SH,BUY,3000,10.0122,30036.74,60.0735,11708257.32,fixed
2017-08-07,603860.SH,BUY,1100,28.6908,31559.85,63.1197,11706734.21,fixed
2017-08-07,300640.SZ,BUY,3400,8.7964,29907.69,59.8154,11708386.36,fixed
2017-08-07,603757.SH,BUY,1300,21.4502,27885.32,55.7706,11710408.74,fixed
2017-08-07,603825.SH,BUY,1700,18.781,31927.65,63.8553,11706366.41,fixed
2017-08-07,002714.SZ,BUY,5100,5.8495,29832.24,59.6645,11708461.82,fixed
2017-08-07,300655.SZ,BUY,10600,2.8258,29953.73,59.9075,11708340.32,fixed
2017-08-07,002878.SZ,BUY,3000,9.9096,29728.92,59.4578,11708565.14,fixed
2017-09-04,002128.SZ,SELL,-4700,10.3762,29783.28,97.5367,12270941.74,fixed
2017-09-04,002179.SZ,SELL,-12000,13.1504,147482.47,315.6105,12388640.93,fixed
2017-09-04,002714.SZ,SELL,-5100,8.8567,29832.24,90.3387,12270990.7,fixed
2017-09-04,002877.SZ,SELL,-3600,9.7627,29282.82,70.2912,12270441.28,fixed
2017-09-04,002889.SZ,SELL,-3100,12.9599,32784.63,80.3512,12273943.09,fixed
2017-09-04,002890.SZ,SELL,-3500,15.071,32274.72,105.4968,12273433.18,fixed
2017-09-04,300640.SZ,SELL,-3400,10.2784,29907.69,69.8934,12271066.15,fixed
2017-09-04,300655.SZ,SELL,-10600,3.2972,29953.73,69.9,12271112.19,fixed
2017-09-04,300659.SZ,SELL,-2600,16.7369,29780.94,87.0321,12270939.4,fixed
2017-09-04,300678.SZ,SELL,-4500,26.242,32851.75,236.178,12274010.21,fixed
2017-09-04,300680.SZ,SELL,-2900,15.5924,32534.24,90.4357,12273692.7,fixed
2017-09-04,300682.SZ,SELL,-4500,20.8678,32489.65,187.8098,12273648.11,fixed
2017-09-04,300685.SZ,SELL,-6300,16.9726,32966.07,213.8545,12274124.53,fixed
2017-09-04,300686.SZ,SELL,-3500,20.8923,32107.0,146.246,12273265.46,fixed
2017-09-04,600666.SH,SELL,-5400,10.9669,59221.27,118.4425,12300379.74,fixed
2017-09-04,600730.SH,SELL,-11400,8.2771,89386.76,188.7189,12330545.22,fixed
2017-09-04,603357.SH,SELL,-3200,16.2097,32824.83,103.742,12273983.29,fixed
2017-09-04,603496.SH,SELL,-3000,12.6137,30036.74,75.682,12271195.2,fixed
2017-09-04,603612.SH,SELL,-1200,41.7911,32292.53,100.2987,12273450.99,fixed
